"Kod";"Nazwa";"ogółem;kobiety;2019;[osoba]";
1611034;"Kolonowskie - miasto (4)";1670;
1611035;"Kolonowskie - obszar wiejski (5)";1351;
1611043;"Leśnica (3)";3882;
1611044;"Leśnica - miasto (4)";1355;
1611045;"Leśnica - obszar wiejski (5)";2527;
1611053;"Strzelce Opolskie (3)";15715;
1611054;"Strzelce Opolskie - miasto (4)";9292;
1611055;"Strzelce Opolskie - obszar wiejski (5)";6423;
1611063;"Ujazd (3)";3269;
1611064;"Ujazd - miasto (4)";887;
1611065;"Ujazd - obszar wiejski (5)";2382;
1611073;"Zawadzkie (3)";5766;
1611074;"Zawadzkie - miasto (4)";3601;
1611075;"Zawadzkie - obszar wiejski (5)";2165;
1661011;"Opole (1)";67773;
1800000;"PODKARPACKIE";1085330;
1801032;"Czarna (2)";1211;
1801052;"Lutowiska (2)";1028;
1801083;"Ustrzyki Dolne (3)";8743;
1801084;"Ustrzyki Dolne - miasto (4)";4699;
1801085;"Ustrzyki Dolne - obszar wiejski (5)";4044;
1802013;"Brzozów (3)";13524;
1802014;"Brzozów - miasto (4)";3868;
1802015;"Brzozów - obszar wiejski (5)";9656;
1802022;"Domaradz (2)";3042;
1802032;"Dydnia (2)";3920;
1802042;"Haczów (2)";4587;
1802052;"Jasienica Rosielna (2)";4009;
1802062;"Nozdrzec (2)";4044;
1803011;"Dębica (1)";23458;
1803023;"Brzostek (3)";6520;
1803024;"Brzostek - miasto (4)";1402;
1803025;"Brzostek - obszar wiejski (5)";5118;
1803032;"Czarna (2)";6616;
1803042;"Dębica (2)";12963;
1803052;"Jodłowa (2)";2642;
1803063;"Pilzno (3)";9166;
1803064;"Pilzno - miasto (4)";2495;
1803065;"Pilzno - obszar wiejski (5)";6671;
1803072;"Żyraków (2)";7084;
1804011;"Jarosław (1)";19896;
1804021;"Radymno (1)";2667;
1804032;"Chłopice (2)";2741;
1804042;"Jarosław (2)";6744;
1804052;"Laszki (2)";3434;
1804062;"Pawłosiów (2)";4305;
1804073;"Pruchnik (3)";4885;
1804074;"Pruchnik - miasto (4)";1902;
1804075;"Pruchnik - obszar wiejski (5)";2983;
1804082;"Radymno (2)";5685;
1804092;"Rokietnica (2)";2200;
1804102;"Roźwienica (2)";3127;
1804112;"Wiązownica (2)";5885;
1805011;"Jasło (1)";18164;
1805022;"Brzyska (2)";3287;
1805032;"Dębowiec (2)";4477;
1805042;"Jasło (2)";8293;
1805053;"Kołaczyce (3)";4429;
1805054;"Kołaczyce - miasto (4)";704;
1805055;"Kołaczyce - obszar wiejski (5)";3725;
1805062;"Krempna (2)";886;
1805072;"Nowy Żmigród (2)";4499;
1805082;"Osiek Jasielski (2)";2705;
1805092;"Skołyszyn (2)";6233;
1805112;"Tarnowiec (2)";4635;
1806012;"Cmolas (2)";4005;
1806023;"Kolbuszowa (3)";12625;
1806024;"Kolbuszowa - miasto (4)";4647;
1806025;"Kolbuszowa - obszar wiejski (5)";7978;
1806032;"Majdan Królewski (2)";4887;
1806042;"Niwiska (2)";3060;
1806052;"Raniżów (2)";3423;
1806062;"Dzikowiec (2)";3230;
1807012;"Chorkówka (2)";6825;
1807023;"Dukla (3)";7371;
1807024;"Dukla - miasto (4)";1078;
1807025;"Dukla - obszar wiejski (5)";6293;
1807033;"Iwonicz-Zdrój (3)";5440;
1807034;"Iwonicz-Zdrój - miasto (4)";950;
1807035;"Iwonicz-Zdrój - obszar wiejski (5)";4490;
1807043;"Jedlicze (3)";7864;
1807044;"Jedlicze - miasto (4)";2927;
1807045;"Jedlicze - obszar wiejski (5)";4937;
1807052;"Korczyna (2)";5690;
1807062;"Krościenko Wyżne (2)";2778;
1807072;"Miejsce Piastowe (2)";7029;
1807083;"Rymanów (3)";8146;
1807084;"Rymanów - miasto (4)";1985;
1807085;"Rymanów - obszar wiejski (5)";6161;
1807092;"Wojaszówka (2)";4752;
1807102;"Jaśliska (2)";1116;
1808011;"Leżajsk (1)";7189;
1808022;"Grodzisko Dolne (2)";4067;
1808032;"Kuryłówka (2)";2851;
1808042;"Leżajsk (2)";10161;
1808053;"Nowa Sarzyna (3)";10815;
1808054;"Nowa Sarzyna - miasto (4)";2987;
1808055;"Nowa Sarzyna - obszar wiejski (5)";7828;
1809011;"Lubaczów (1)";6259;
1809023;"Cieszanów (3)";3598;
1809024;"Cieszanów - miasto (4)";949;
1809025;"Cieszanów - obszar wiejski (5)";2649;
1809032;"Horyniec-Zdrój (2)";2356;
1809042;"Lubaczów (2)";4560;
1809053;"Narol (3)";3831;
1809054;"Narol - miasto (4)";1011;
1809055;"Narol - obszar wiejski (5)";2820;
1809063;"Oleszyce (3)";3178;
1809064;"Oleszyce - miasto (4)";1476;
1809065;"Oleszyce - obszar wiejski (5)";1702;
1809072;"Stary Dzików (2)";2073;
1809082;"Wielkie Oczy (2)";1939;
1810011;"Łańcut (1)";9229;
1810022;"Białobrzegi (2)";4401;
1810032;"Czarna (2)";6019;
1810042;"Łańcut (2)";11022;
1810052;"Markowa (2)";3291;
1810062;"Rakszawa (2)";3690;
1810072;"Żołynia (2)";3543;
1811011;"Mielec (1)";31282;
1811022;"Borowa (2)";2769;
1811032;"Czermin (2)";3493;
1811042;"Gawłuszowice (2)";1369;
1811052;"Mielec (2)";6686;
1811062;"Padew Narodowa (2)";2676;
1811073;"Przecław (3)";6050;
1811074;"Przecław - miasto (4)";920;
1811075;"Przecław - obszar wiejski (5)";5130;
1811083;"Radomyśl Wielki (3)";7098;
1811084;"Radomyśl Wielki - miasto (4)";1651;
1811085;"Radomyśl Wielki - obszar wiejski (5)";5447;
1811092;"Tuszów Narodowy (2)";4102;
1811102;"Wadowice Górne (2)";3813;
1812012;"Harasiuki (2)";3040;
1812022;"Jarocin (2)";2700;
1812032;"Jeżowe (2)";5025;
1812042;"Krzeszów (2)";2160;
1812053;"Nisko (3)";11479;
1812054;"Nisko - miasto (4)";7886;
1812055;"Nisko - obszar wiejski (5)";3593;
1812063;"Rudnik nad Sanem (3)";5114;
1812064;"Rudnik nad Sanem - miasto (4)";3433;
1812065;"Rudnik nad Sanem - obszar wiejski (5)";1681;
1812073;"Ulanów (3)";4168;
1812074;"Ulanów - miasto (4)";741;
1812075;"Ulanów - obszar wiejski (5)";3427;
1813012;"Bircza (2)";3188;
1813022;"Dubiecko (2)";4599;
1813032;"Fredropol (2)";2733;
1813042;"Krasiczyn (2)";2589;
1813052;"Krzywcza (2)";2326;
1813062;"Medyka (2)";3238;
1813072;"Orły (2)";4438;
1813082;"Przemyśl (2)";5341;
1813092;"Stubno (2)";1964;
1813102;"Żurawica (2)";6514;
1814011;"Przeworsk (1)";7965;
1814022;"Adamówka (2)";2034;
1814032;"Gać (2)";2367;
1814042;"Jawornik Polski (2)";2256;
1814053;"Kańczuga (3)";6215;
1814054;"Kańczuga - miasto (4)";1611;
1814055;"Kańczuga - obszar wiejski (5)";4604;
1814062;"Przeworsk (2)";7509;
1814073;"Sieniawa (3)";3516;
1814074;"Sieniawa - miasto (4)";1075;
1814075;"Sieniawa - obszar wiejski (5)";2441;
1814082;"Tryńcza (2)";4232;
1814092;"Zarzecze (2)";3620;
1815012;"Iwierzyce (2)";3863;
1815022;"Ostrów (2)";3686;
1815033;"Ropczyce (3)";13955;
1815034;"Ropczyce - miasto (4)";8103;
1815035;"Ropczyce - obszar wiejski (5)";5852;
1815043;"Sędziszów Małopolski (3)";12115;
1815044;"Sędziszów Małopolski - miasto (4)";6292;
1815045;"Sędziszów Małopolski - obszar wiejski (5)";5823;
1815052;"Wielopole Skrzyńskie (2)";4072;
1816011;"Dynów (1)";3094;
1816023;"Błażowa (3)";5473;
1816024;"Błażowa - miasto (4)";1127;
1816025;"Błażowa - obszar wiejski (5)";4346;
1816033;"Boguchwała (3)";10682;
1816034;"Boguchwała - miasto (4)";3244;
1816035;"Boguchwała - obszar wiejski (5)";7438;
1816042;"Chmielnik (2)";3478;
1816052;"Dynów (2)";3385;
1816063;"Głogów Małopolski (3)";9885;
1816064;"Głogów Małopolski - miasto (4)";3390;
1816065;"Głogów Małopolski - obszar wiejski (5)";6495;
1816072;"Hyżne (2)";3550;
1816082;"Kamień (2)";3406;
1816092;"Krasne (2)";5907;
1816102;"Lubenia (2)";3252;
1816113;"Sokołów Małopolski (3)";8726;
1816114;"Sokołów Małopolski - miasto (4)";2163;
1816115;"Sokołów Małopolski - obszar wiejski (5)";6563;
1816122;"Świlcza (2)";8304;
1816132;"Trzebownisko (2)";11306;
1816143;"Tyczyn (3)";5319;
1816144;"Tyczyn - miasto (4)";1955;
1816145;"Tyczyn - obszar wiejski (5)";3364;
1817011;"Sanok (1)";19543;
1817022;"Besko (2)";2292;
1817032;"Bukowsko (2)";2727;
1817042;"Komańcza (2)";2260;
1817052;"Sanok (2)";9030;
1817062;"Tyrawa Wołoska (2)";980;
1817073;"Zagórz (3)";6561;
1817074;"Zagórz - miasto (4)";2574;
1817075;"Zagórz - obszar wiejski (5)";3987;
1817082;"Zarszyn (2)";4756;
1818011;"Stalowa Wola (1)";31615;
1818022;"Bojanów (2)";3737;
1818032;"Pysznica (2)";5702;
1818042;"Radomyśl nad Sanem (2)";3670;
1818053;"Zaklików (3)";4360;
1818054;"Zaklików - miasto (4)";1547;
1818055;"Zaklików - obszar wiejski (5)";2813;
1818062;"Zaleszany (2)";5560;
1819012;"Czudec (2)";5903;
1819022;"Frysztak (2)";5177;
1819032;"Niebylec (2)";5388;
1819043;"Strzyżów (3)";10484;
1819044;"Strzyżów - miasto (4)";4585;
1819045;"Strzyżów - obszar wiejski (5)";5899;
1819052;"Wiśniowa (2)";3985;
1820013;"Baranów Sandomierski (3)";6003;
1820014;"Baranów Sandomierski - miasto (4)";735;
1820015;"Baranów Sandomierski - obszar wiejski (5)";5268;
1820022;"Gorzyce (2)";6603;
1820032;"Grębów (2)";5005;
1820043;"Nowa Dęba (3)";9347;
1820044;"Nowa Dęba - miasto (4)";5827;
1820045;"Nowa Dęba - obszar wiejski (5)";3520;
1821012;"Baligród (2)";1572;
1821022;"Cisna (2)";885;
1821033;"Lesko (3)";5804;
1821034;"Lesko - miasto (4)";2871;
1821035;"Lesko - obszar wiejski (5)";2933;
1821042;"Olszanica (2)";2457;
1821052;"Solina (2)";2665;
1861011;"Krosno (1)";24436;
1862011;"Przemyśl (1)";32253;
1863011;"Rzeszów (1)";103019;
1864011;"Tarnobrzeg (1)";24378;
2000000;"PODLASKIE";604135;
2001011;"Augustów (1)";15883;
2001022;"Augustów (2)";3308;
2001032;"Bargłów Kościelny (2)";2760;
2001043;"Lipsk (3)";2524;
2001044;"Lipsk - miasto (4)";1179;
2001045;"Lipsk - obszar wiejski (5)";1345;
2001052;"Nowinka (2)";1449;
2001062;"Płaska (2)";1261;
2001072;"Sztabin (2)";2451;
2002013;"Choroszcz (3)";7723;
2002014;"Choroszcz - miasto (4)";2950;
2002015;"Choroszcz - obszar wiejski (5)";4773;
2002023;"Czarna Białostocka (3)";5809;
2002024;"Czarna Białostocka - miasto (4)";4820;
2002025;"Czarna Białostocka - obszar wiejski (5)";989;
2002032;"Dobrzyniewo Duże (2)";4728;
2002042;"Gródek (2)";2665;
2002052;"Juchnowiec Kościelny (2)";8312;
2002063;"Łapy (3)";11175;
2002064;"Łapy - miasto (4)";7990;
2002065;"Łapy - obszar wiejski (5)";3185;
2002073;"Michałowo (3)";3282;
2002074;"Michałowo - miasto (4)";1539;
2002075;"Michałowo - obszar wiejski (5)";1743;
2002082;"Poświętne (2)";1661;
2002093;"Supraśl (3)";8111;
2002094;"Supraśl - miasto (4)";2441;
2002095;"Supraśl - obszar wiejski (5)";5670;
2002103;"Suraż (3)";984;
2002104;"Suraż - miasto (4)";498;
2002105;"Suraż - obszar wiejski (5)";486;
2002112;"Turośń Kościelna (2)";3195;
2002123;"Tykocin (3)";3148;
2002124;"Tykocin - miasto (4)";1025;
2002125;"Tykocin - obszar wiejski (5)";2123;
2002133;"Wasilków (3)";9061;
2002134;"Wasilków - miasto (4)";6036;
2002135;"Wasilków - obszar wiejski (5)";3025;
2002143;"Zabłudów (3)";4615;
2002144;"Zabłudów - miasto (4)";1264;
2002145;"Zabłudów - obszar wiejski (5)";3351;
2002152;"Zawady (2)";1316;
2003011;"Bielsk Podlaski (1)";13136;
2003021;"Brańsk (1)";1857;
2003032;"Bielsk Podlaski (2)";3246;
2003042;"Boćki (2)";2037;
2003052;"Brańsk (2)";2703;
2003062;"Orla (2)";1407;
2003072;"Rudka (2)";907;
2003082;"Wyszki (2)";2133;
2004011;"Grajewo (1)";11291;
2004022;"Grajewo (2)";2863;
2004032;"Radziłów (2)";2324;
2004043;"Rajgród (3)";2585;
2004044;"Rajgród - miasto (4)";782;
2004045;"Rajgród - obszar wiejski (5)";1803;
2004053;"Szczuczyn (3)";2979;
2004054;"Szczuczyn - miasto (4)";1666;
2004055;"Szczuczyn - obszar wiejski (5)";1313;
2004062;"Wąsosz (2)";1749;
2005011;"Hajnówka (1)";10785;
2005022;"Białowieża (2)";1096;
2005032;"Czeremcha (2)";1613;
2005042;"Czyże (2)";994;
2005052;"Dubicze Cerkiewne (2)";751;
2005062;"Hajnówka (2)";1913;
2005073;"Kleszczele (3)";1255;
2005074;"Kleszczele - miasto (4)";639;
2005075;"Kleszczele - obszar wiejski (5)";616;
2005082;"Narew (2)";1792;
2005092;"Narewka (2)";1764;
2006011;"Kolno (1)";5224;
2006022;"Grabowo (2)";1710;
2006032;"Kolno (2)";4256;
2006042;"Mały Płock (2)";2344;
2006053;"Stawiski (3)";3047;
2006054;"Stawiski - miasto (4)";1101;
2006055;"Stawiski - obszar wiejski (5)";1946;
2006062;"Turośl (2)";2421;
2007013;"Jedwabne (3)";2610;
2007014;"Jedwabne - miasto (4)";816;
2007015;"Jedwabne - obszar wiejski (5)";1794;
2007022;"Łomża (2)";5498;
2007032;"Miastkowo (2)";2088;
2007043;"Nowogród (3)";2043;
2007044;"Nowogród - miasto (4)";1111;
2007045;"Nowogród - obszar wiejski (5)";932;
2007052;"Piątnica (2)";5231;
2007062;"Przytuły (2)";1036;
2007072;"Śniadowo (2)";2614;
2007082;"Wizna (2)";1966;
2007092;"Zbójna (2)";2068;
2008013;"Goniądz (3)";2529;
2008014;"Goniądz - miasto (4)";1012;
2008015;"Goniądz - obszar wiejski (5)";1517;
2008022;"Jasionówka (2)";1377;
2008032;"Jaświły (2)";2353;
2008043;"Knyszyn (3)";2373;
2008044;"Knyszyn - miasto (4)";1366;
2008045;"Knyszyn - obszar wiejski (5)";1007;
2008052;"Krypno (2)";1992;
2008063;"Mońki (3)";7633;
2008064;"Mońki - miasto (4)";5230;
2008065;"Mońki - obszar wiejski (5)";2403;
2008072;"Trzcianne (2)";2096;
2009011;"Sejny (1)";2777;
2009022;"Giby (2)";1346;
2009032;"Krasnopol (2)";1852;
2009042;"Puńsk (2)";2075;
2009052;"Sejny (2)";1937;
2010011;"Siemiatycze (1)";7564;
2010023;"Drohiczyn (3)";3136;
2010024;"Drohiczyn - miasto (4)";1019;
2010025;"Drohiczyn - obszar wiejski (5)";2117;
2010032;"Dziadkowice (2)";1338;
2010042;"Grodzisk (2)";2029;
2010052;"Mielnik (2)";1206;
2010062;"Milejczyce (2)";909;
2010072;"Nurzec-Stacja (2)";1915;
2010082;"Perlejewo (2)";1388;
2010092;"Siemiatycze (2)";3039;
2011013;"Dąbrowa Białostocka (3)";5717;
2011014;"Dąbrowa Białostocka - miasto (4)";2845;
2011015;"Dąbrowa Białostocka - obszar wiejski (5)";2872;
2011022;"Janów (2)";2068;
2011032;"Korycin (2)";1582;
2011043;"Krynki (3)";1570;
2011044;"Krynki - miasto (4)";1241;
2011045;"Krynki - obszar wiejski (5)";329;
2011052;"Kuźnica (2)";1949;
2011062;"Nowy Dwór (2)";1304;
2011072;"Sidra (2)";1669;
2011083;"Sokółka (3)";12932;
2011084;"Sokółka - miasto (4)";9368;
2011085;"Sokółka - obszar wiejski (5)";3564;
2011093;"Suchowola (3)";3455;
2011094;"Suchowola - miasto (4)";1116;
2011095;"Suchowola - obszar wiejski (5)";2339;
2011102;"Szudziałowo (2)";1422;
2012012;"Bakałarzewo (2)";1500;
2012022;"Filipów (2)";2097;
2012032;"Jeleniewo (2)";1519;
2012042;"Przerośl (2)";1432;
2012052;"Raczki (2)";2890;
2012062;"Rutka-Tartak (2)";1148;
2012072;"Suwałki (2)";3796;
2012082;"Szypliszki (2)";1914;
2012092;"Wiżajny (2)";1141;
2013011;"Wysokie Mazowieckie (1)";4881;
2013023;"Ciechanowiec (3)";4203;
2013024;"Ciechanowiec - miasto (4)";2329;
2013025;"Ciechanowiec - obszar wiejski (5)";1874;
2013033;"Czyżew (3)";3151;
2013034;"Czyżew - miasto (4)";1347;
2013035;"Czyżew - obszar wiejski (5)";1804;
2013042;"Klukowo (2)";2095;
2013052;"Kobylin-Borzymy (2)";1536;
2013062;"Kulesze Kościelne (2)";1513;
2013072;"Nowe Piekuty (2)";1891;
2013082;"Sokoły (2)";2852;
2013093;"Szepietowo (3)";3356;
2013094;"Szepietowo - miasto (4)";1057;
2013095;"Szepietowo - obszar wiejski (5)";2299;
2013102;"Wysokie Mazowieckie (2)";2673;
2014011;"Zambrów (1)";11439;
2014022;"Kołaki Kościelne (2)";1116;
2014032;"Rutki (2)";2691;
2014042;"Szumowo (2)";2357;
2014052;"Zambrów (2)";4338;
2061011;"Białystok (1)";157931;
2062011;"Łomża (1)";32976;
2063011;"Suwałki (1)";36410;
2200000;"POMORSKIE";1202703;
2201012;"Borzytuchom (2)";1650;
2201023;"Bytów (3)";12932;
2201024;"Bytów - miasto (4)";8719;
2201025;"Bytów - obszar wiejski (5)";4213;
2201032;"Czarna Dąbrówka (2)";2924;
2201042;"Kołczygłowy (2)";2095;
2201052;"Lipnica (2)";2538;
2201063;"Miastko (3)";9856;
2201064;"Miastko - miasto (4)";5363;
2201065;"Miastko - obszar wiejski (5)";4493;
2201072;"Parchowo (2)";1917;
2201082;"Studzienice (2)";1883;
2201092;"Trzebielino (2)";1841;
2201102;"Tuchomie (2)";2099;
2202011;"Chojnice (1)";20620;
2202023;"Brusy (3)";7280;
2202024;"Brusy - miasto (4)";2618;
2202025;"Brusy - obszar wiejski (5)";4662;
2202032;"Chojnice (2)";9527;
2202043;"Czersk (3)";10914;
2202044;"Czersk - miasto (4)";5077;
2202045;"Czersk - obszar wiejski (5)";5837;
2202052;"Konarzyny (2)";1147;
2203011;"Człuchów (1)";7141;
2203023;"Czarne (3)";4629;
2203024;"Czarne - miasto (4)";3077;
2203025;"Czarne - obszar wiejski (5)";1552;
2203032;"Człuchów (2)";5410;
2203043;"Debrzno (3)";4558;
2203044;"Debrzno - miasto (4)";2594;
2203045;"Debrzno - obszar wiejski (5)";1964;
2203052;"Koczała (2)";1692;
2203062;"Przechlewo (2)";3122;
2203072;"Rzeczenica (2)";1816;
2204011;"Pruszcz Gdański (1)";16397;
2204022;"Cedry Wielkie (2)";3475;
2204032;"Kolbudy (2)";9116;
2204042;"Pruszcz Gdański (2)";15942;
2204052;"Przywidz (2)";2917;
2204062;"Pszczółki (2)";4878;
2204072;"Suchy Dąb (2)";2073;
2204082;"Trąbki Wielkie (2)";5506;
2205012;"Chmielno (2)";3900;
2205023;"Kartuzy (3)";17335;
2205024;"Kartuzy - miasto (4)";7568;
2205025;"Kartuzy - obszar wiejski (5)";9767;
2205032;"Przodkowo (2)";4823;
2205042;"Sierakowice (2)";9913;
2205052;"Somonino (2)";5288;
2205062;"Stężyca (2)";5239;
2205072;"Sulęczyno (2)";2755;
2205083;"Żukowo (3)";20523;
2205084;"Żukowo - miasto (4)";3401;
2205085;"Żukowo - obszar wiejski (5)";17122;
2206011;"Kościerzyna (1)";12222;
2206022;"Dziemiany (2)";2219;
2206032;"Karsin (2)";3102;
2206042;"Kościerzyna (2)";7963;
2206052;"Liniewo (2)";2279;
2206062;"Lipusz (2)";1807;
2206072;"Nowa Karczma (2)";3484;
2206082;"Stara Kiszewa (2)";3249;
2207011;"Kwidzyn (1)";19780;
2207022;"Gardeja (2)";4181;
2207032;"Kwidzyn (2)";5557;
2207043;"Prabuty (3)";6592;
2207044;"Prabuty - miasto (4)";4472;
2207045;"Prabuty - obszar wiejski (5)";2120;
2207052;"Ryjewo (2)";2835;
2207062;"Sadlinki (2)";2980;
2208011;"Lębork (1)";18236;
2208021;"Łeba (1)";1858;
2208032;"Cewice (2)";3762;
2208042;"Nowa Wieś Lęborska (2)";6702;
2208052;"Wicko (2)";2998;
2209011;"Malbork (1)";19971;
2209032;"Lichnowy (2)";2313;
2209042;"Malbork (2)";2374;
2209062;"Miłoradz (2)";1669;
2209073;"Nowy Staw (3)";3839;
2209074;"Nowy Staw - miasto (4)";2184;
2209075;"Nowy Staw - obszar wiejski (5)";1655;
2209082;"Stare Pole (2)";2375;
2210011;"Krynica Morska (1)";659;
2210023;"Nowy Dwór Gdański (3)";8981;
2210024;"Nowy Dwór Gdański - miasto (4)";5159;
2210025;"Nowy Dwór Gdański - obszar wiejski (5)";3822;
2210032;"Ostaszewo (2)";1552;
2210042;"Stegna (2)";4865;
2210052;"Sztutowo (2)";1823;
2211011;"Hel (1)";1643;
2211023;"Jastarnia (3)";1898;
2211024;"Jastarnia - miasto (4)";1465;
2211025;"Jastarnia - obszar wiejski (5)";433;
2211031;"Puck (1)";5825;
2211043;"Władysławowo (3)";7877;
2211044;"Władysławowo - miasto (4)";5126;
2211045;"Władysławowo - obszar wiejski (5)";2751;
2211052;"Kosakowo (2)";7871;
2211062;"Krokowa (2)";5326;
2211072;"Puck (2)";13333;
2212011;"Ustka (1)";8023;
2212022;"Damnica (2)";2997;
2212032;"Dębnica Kaszubska (2)";4757;
2212042;"Główczyce (2)";4421;
2212053;"Kępice (3)";4416;
2212054;"Kępice - miasto (4)";1796;
2212055;"Kępice - obszar wiejski (5)";2620;
2212062;"Kobylnica (2)";6435;
2212072;"Potęgowo (2)";3403;
2212082;"Słupsk (2)";9114;
2212092;"Smołdzino (2)";1707;
2212102;"Ustka (2)";4125;
2213013;"Czarna Woda (3)";1589;
2213014;"Czarna Woda - miasto (4)";1417;
2213015;"Czarna Woda - obszar wiejski (5)";172;
2213021;"Skórcz (1)";1846;
2213031;"Starogard Gdański (1)";24689;
2213042;"Bobowo (2)";1573;
2213052;"Kaliska (2)";2685;
2213062;"Lubichowo (2)";3293;
2213072;"Osieczna (2)";1418;
2213082;"Osiek (2)";1162;
2213093;"Skarszewy (3)";7588;
2213094;"Skarszewy - miasto (4)";3660;
2213095;"Skarszewy - obszar wiejski (5)";3928;
2213102;"Skórcz (2)";2208;
2213112;"Smętowo Graniczne (2)";2569;
2213122;"Starogard Gdański (2)";8366;
2213132;"Zblewo (2)";5996;
2214011;"Tczew (1)";31198;
2214023;"Gniew (3)";7752;
2214024;"Gniew - miasto (4)";3469;
2214025;"Gniew - obszar wiejski (5)";4283;
2214032;"Morzeszczyn (2)";1779;
2214043;"Pelplin (3)";8042;
2214044;"Pelplin - miasto (4)";3847;
2214045;"Pelplin - obszar wiejski (5)";4195;
2214052;"Subkowy (2)";2691;
2214062;"Tczew (2)";7376;
2215011;"Reda (1)";13386;
2215021;"Rumia (1)";25334;
2215031;"Wejherowo (1)";25522;
2215042;"Choczewo (2)";2684;
2215052;"Gniewino (2)";3527;
2215062;"Linia (2)";3231;
2215072;"Luzino (2)";8232;
2215082;"Łęczyce (2)";6021;
2215092;"Szemud (2)";8956;
2215102;"Wejherowo (2)";13200;
2216013;"Dzierzgoń (3)";4620;
2216014;"Dzierzgoń - miasto (4)";2731;
2216015;"Dzierzgoń - obszar wiejski (5)";1889;
2216022;"Mikołajki Pomorskie (2)";1783;
2216032;"Stary Dzierzgoń (2)";1936;
2216042;"Stary Targ (2)";3066;
2216053;"Sztum (3)";9307;
2216054;"Sztum - miasto (4)";5185;
2216055;"Sztum - obszar wiejski (5)";4122;
2261011;"Gdańsk (1)";247841;
2262011;"Gdynia (1)";130077;
2263011;"Słupsk (1)";47967;
2264011;"Sopot (1)";19124;
2400000;"ŚLĄSKIE";2340340;
2401011;"Będzin (1)";29676;
2401021;"Czeladź (1)";16497;
2401031;"Wojkowice (1)";4687;
2401042;"Bobrowniki (2)";6361;
2401052;"Mierzęcice (2)";3931;
2401062;"Psary (2)";6358;
2401073;"Siewierz (3)";6453;
2401074;"Siewierz - miasto (4)";2906;
2401075;"Siewierz - obszar wiejski (5)";3547;
2401081;"Sławków (1)";3663;
2402011;"Szczyrk (1)";3021;
2402022;"Bestwina (2)";6048;
2402032;"Buczkowice (2)";5728;
2402043;"Czechowice-Dziedzice (3)";23370;
2402044;"Czechowice-Dziedzice - miasto (4)";18610;
2402045;"Czechowice-Dziedzice - obszar wiejski (5)";4760;
2402052;"Jasienica (2)";12384;
2402062;"Jaworze (2)";3763;
2402072;"Kozy (2)";6779;
2402082;"Porąbka (2)";7940;
2402093;"Wilamowice (3)";8975;
2402094;"Wilamowice - miasto (4)";1548;
2402095;"Wilamowice - obszar wiejski (5)";7427;
2402102;"Wilkowice (2)";6901;
2403011;"Cieszyn (1)";18097;
2403021;"Ustroń (1)";8436;
2403031;"Wisła (1)";5740;
2403042;"Brenna (2)";5702;
2403052;"Chybie (2)";4967;
2403062;"Dębowiec (2)";2949;
2403072;"Goleszów (2)";6755;
2403082;"Hażlach (2)";5536;
2403092;"Istebna (2)";6094;
2403103;"Skoczów (3)";13986;
2403104;"Skoczów - miasto (4)";7516;
2403105;"Skoczów - obszar wiejski (5)";6470;
2403113;"Strumień (3)";6627;
2403114;"Strumień - miasto (4)";1834;
2403115;"Strumień - obszar wiejski (5)";4793;
2403122;"Zebrzydowice (2)";6777;
2404013;"Blachownia (3)";6806;
2404014;"Blachownia - miasto (4)";5063;
2404015;"Blachownia - obszar wiejski (5)";1743;
2404022;"Dąbrowa Zielona (2)";1950;
2404032;"Janów (2)";2980;
2404042;"Kamienica Polska (2)";2878;
2404052;"Kłomnice (2)";6957;
2404063;"Koniecpol (3)";4732;
2404064;"Koniecpol - miasto (4)";3026;
2404065;"Koniecpol - obszar wiejski (5)";1706;
2404072;"Konopiska (2)";5545;
2404082;"Kruszyna (2)";2428;
2404092;"Lelów (2)";2402;
2404102;"Mstów (2)";5542;
2404112;"Mykanów (2)";7627;
2404122;"Olsztyn (2)";3913;
2404132;"Poczesna (2)";6478;
2404142;"Przyrów (2)";1898;
2404152;"Rędziny (2)";5054;
2404162;"Starcza (2)";1457;
2405011;"Knurów (1)";19629;
2405021;"Pyskowice (1)";9574;
2405032;"Gierałtowice (2)";6288;
2405042;"Pilchowice (2)";6131;
2405052;"Rudziniec (2)";5454;
2405063;"Sośnicowice (3)";4655;
2405064;"Sośnicowice - miasto (4)";1065;
2405065;"Sośnicowice - obszar wiejski (5)";3590;
2405073;"Toszek (3)";4798;
2405074;"Toszek - miasto (4)";1855;
2405075;"Toszek - obszar wiejski (5)";2943;
2405082;"Wielowieś (2)";2994;
2406013;"Kłobuck (3)";10403;
2406014;"Kłobuck - miasto (4)";6664;
2406015;"Kłobuck - obszar wiejski (5)";3739;
2406023;"Krzepice (3)";4610;
2406024;"Krzepice - miasto (4)";2267;
2406025;"Krzepice - obszar wiejski (5)";2343;
2406032;"Lipie (2)";3149;
2406042;"Miedźno (2)";3812;
2406052;"Opatów (2)";3448;
2406062;"Panki (2)";2558;
2406072;"Popów (2)";2963;
2406082;"Przystajń (2)";2963;
2406092;"Wręczyca Wielka (2)";9002;
2407011;"Lubliniec (1)";12170;
2407022;"Boronów (2)";1750;
2407032;"Ciasna (2)";3786;
2407042;"Herby (2)";3418;
2407052;"Kochanowice (2)";3542;
2407062;"Koszęcin (2)";6016;
2407072;"Pawonków (2)";3355;
2407083;"Woźniki (3)";4850;
