"Kod";"Nazwa";"Świadczenie wychowawcze";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0612023;"Józefów nad Wisłą (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";989;"-";"";
0612023;"Józefów nad Wisłą (3)";"wydatki na świadczenia wychowawcze";"2019";5463211;"zł";"";
0612032;"Karczmiska (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";371;"-";"";
0612032;"Karczmiska (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";584;"-";"";
0612032;"Karczmiska (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";815;"-";"";
0612032;"Karczmiska (2)";"wydatki na świadczenia wychowawcze";"2019";4378103;"zł";"";
0612042;"Łaziska (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";338;"-";"";
0612042;"Łaziska (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";559;"-";"";
0612042;"Łaziska (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";722;"-";"";
0612042;"Łaziska (2)";"wydatki na świadczenia wychowawcze";"2019";3966480;"zł";"";
0612053;"Opole Lubelskie (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1228;"-";"";
0612053;"Opole Lubelskie (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";2002;"-";"";
0612053;"Opole Lubelskie (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";2694;"-";"";
0612053;"Opole Lubelskie (3)";"wydatki na świadczenia wychowawcze";"2019";14536977;"zł";"";
0612063;"Poniatowa (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";861;"-";"";
0612063;"Poniatowa (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1349;"-";"";
0612063;"Poniatowa (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1954;"-";"";
0612063;"Poniatowa (3)";"wydatki na świadczenia wychowawcze";"2019";10670002;"zł";"";
0612072;"Wilków (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";338;"-";"";
0612072;"Wilków (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";532;"-";"";
0612072;"Wilków (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";661;"-";"";
0612072;"Wilków (2)";"wydatki na świadczenia wychowawcze";"2019";3771494;"zł";"";
0613012;"Dębowa Kłoda (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";312;"-";"";
0613012;"Dębowa Kłoda (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";510;"-";"";
0613012;"Dębowa Kłoda (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";666;"-";"";
0613012;"Dębowa Kłoda (2)";"wydatki na świadczenia wychowawcze";"2019";3603213;"zł";"";
0613022;"Jabłoń (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";241;"-";"";
0613022;"Jabłoń (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";408;"-";"";
0613022;"Jabłoń (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";580;"-";"";
0613022;"Jabłoń (2)";"wydatki na świadczenia wychowawcze";"2019";3037185;"zł";"";
0613032;"Milanów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";286;"-";"";
0613032;"Milanów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";512;"-";"";
0613032;"Milanów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";675;"-";"";
0613032;"Milanów (2)";"wydatki na świadczenia wychowawcze";"2019";3576513;"zł";"";
0613043;"Parczew (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";980;"-";"";
0613043;"Parczew (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1471;"-";"";
0613043;"Parczew (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";2282;"-";"";
0613043;"Parczew (3)";"wydatki na świadczenia wychowawcze";"2019";11732234;"zł";"";
0613052;"Podedwórze (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";99;"-";"";
0613052;"Podedwórze (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";149;"-";"";
0613052;"Podedwórze (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";207;"-";"";
0613052;"Podedwórze (2)";"wydatki na świadczenia wychowawcze";"2019";1076458;"zł";"";
0613062;"Siemień (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";292;"-";"";
0613062;"Siemień (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";480;"-";"";
0613062;"Siemień (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";639;"-";"";
0613062;"Siemień (2)";"wydatki na świadczenia wychowawcze";"2019";3443954;"zł";"";
0613072;"Sosnowica (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";150;"-";"";
0613072;"Sosnowica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";252;"-";"";
0613072;"Sosnowica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";339;"-";"";
0613072;"Sosnowica (2)";"wydatki na świadczenia wychowawcze";"2019";1814974;"zł";"";
0614011;"Puławy (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";2626;"-";"";
0614011;"Puławy (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";3739;"-";"";
0614011;"Puławy (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";6552;"-";"";
0614011;"Puławy (1)";"wydatki na świadczenia wychowawcze";"2019";31980129;"zł";"";
0614022;"Baranów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";234;"-";"";
0614022;"Baranów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";356;"-";"";
0614022;"Baranów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";552;"-";"";
0614022;"Baranów (2)";"wydatki na świadczenia wychowawcze";"2019";2873831;"zł";"";
0614032;"Janowiec (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";243;"-";"";
0614032;"Janowiec (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";365;"-";"";
0614032;"Janowiec (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";575;"-";"";
0614032;"Janowiec (2)";"wydatki na świadczenia wychowawcze";"2019";2892666;"zł";"";
0614043;"Kazimierz Dolny (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";382;"-";"";
0614043;"Kazimierz Dolny (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";589;"-";"";
0614043;"Kazimierz Dolny (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";893;"-";"";
0614043;"Kazimierz Dolny (3)";"wydatki na świadczenia wychowawcze";"2019";4564401;"zł";"";
0614052;"Końskowola (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";603;"-";"";
0614052;"Końskowola (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";905;"-";"";
0614052;"Końskowola (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1447;"-";"";
0614052;"Końskowola (2)";"wydatki na świadczenia wychowawcze";"2019";7154496;"zł";"";
0614062;"Kurów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";519;"-";"";
0614062;"Kurów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";813;"-";"";
0614062;"Kurów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1216;"-";"";
0614062;"Kurów (2)";"wydatki na świadczenia wychowawcze";"2019";6300026;"zł";"";
0614072;"Markuszów (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";221;"-";"";
0614072;"Markuszów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";336;"-";"";
0614072;"Markuszów (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";496;"-";"";
0614072;"Markuszów (2)";"wydatki na świadczenia wychowawcze";"2019";2561487;"zł";"";
0614083;"Nałęczów (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";531;"-";"";
0614083;"Nałęczów (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";808;"-";"";
0614083;"Nałęczów (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1303;"-";"";
0614083;"Nałęczów (3)";"wydatki na świadczenia wychowawcze";"2019";6477032;"zł";"";
0614092;"Puławy (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";781;"-";"";
0614092;"Puławy (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1123;"-";"";
0614092;"Puławy (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1905;"-";"";
0614092;"Puławy (2)";"wydatki na świadczenia wychowawcze";"2019";9566027;"zł";"";
0614102;"Wąwolnica (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";289;"-";"";
0614102;"Wąwolnica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";455;"-";"";
0614102;"Wąwolnica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";709;"-";"";
0614102;"Wąwolnica (2)";"wydatki na świadczenia wychowawcze";"2019";3717957;"zł";"";
0614112;"Żyrzyn (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";411;"-";"";
0614112;"Żyrzyn (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";623;"-";"";
0614112;"Żyrzyn (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1000;"-";"";
0614112;"Żyrzyn (2)";"wydatki na świadczenia wychowawcze";"2019";5106625;"zł";"";
0615011;"Radzyń Podlaski (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1009;"-";"";
0615011;"Radzyń Podlaski (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1580;"-";"";
0615011;"Radzyń Podlaski (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";2483;"-";"";
0615011;"Radzyń Podlaski (1)";"wydatki na świadczenia wychowawcze";"2019";12446163;"zł";"";
0615022;"Borki (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";493;"-";"";
0615022;"Borki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";906;"-";"";
0615022;"Borki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1195;"-";"";
0615022;"Borki (2)";"wydatki na świadczenia wychowawcze";"2019";6218710;"zł";"";
0615032;"Czemierniki (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";321;"-";"";
0615032;"Czemierniki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";532;"-";"";
0615032;"Czemierniki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";693;"-";"";
0615032;"Czemierniki (2)";"wydatki na świadczenia wychowawcze";"2019";3819462;"zł";"";
0615042;"Kąkolewnica (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";612;"-";"";
0615042;"Kąkolewnica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1063;"-";"";
0615042;"Kąkolewnica (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1414;"-";"";
0615042;"Kąkolewnica (2)";"wydatki na świadczenia wychowawcze";"2019";7681494;"zł";"";
0615052;"Komarówka Podlaska (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";272;"-";"";
0615052;"Komarówka Podlaska (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";486;"-";"";
0615052;"Komarówka Podlaska (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";641;"-";"";
0615052;"Komarówka Podlaska (2)";"wydatki na świadczenia wychowawcze";"2019";3488907;"zł";"";
0615062;"Radzyń Podlaski (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";646;"-";"";
0615062;"Radzyń Podlaski (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1085;"-";"";
0615062;"Radzyń Podlaski (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1504;"-";"";
0615062;"Radzyń Podlaski (2)";"wydatki na świadczenia wychowawcze";"2019";7917090;"zł";"";
0615072;"Ulan-Majorat (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";485;"-";"";
0615072;"Ulan-Majorat (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";892;"-";"";
0615072;"Ulan-Majorat (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1147;"-";"";
0615072;"Ulan-Majorat (2)";"wydatki na świadczenia wychowawcze";"2019";6217488;"zł";"";
0615082;"Wohyń (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";446;"-";"";
0615082;"Wohyń (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";793;"-";"";
0615082;"Wohyń (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1067;"-";"";
0615082;"Wohyń (2)";"wydatki na świadczenia wychowawcze";"2019";5807453;"zł";"";
0616011;"Dęblin (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";879;"-";"";
0616011;"Dęblin (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1252;"-";"";
0616011;"Dęblin (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";2321;"-";"";
0616011;"Dęblin (1)";"wydatki na świadczenia wychowawcze";"2019";10931229;"zł";"";
0616022;"Kłoczew (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";608;"-";"";
0616022;"Kłoczew (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1120;"-";"";
0616022;"Kłoczew (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1447;"-";"";
0616022;"Kłoczew (2)";"wydatki na świadczenia wychowawcze";"2019";7869880;"zł";"";
0616032;"Nowodwór (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";331;"-";"";
0616032;"Nowodwór (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";599;"-";"";
0616032;"Nowodwór (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";734;"-";"";
0616032;"Nowodwór (2)";"wydatki na świadczenia wychowawcze";"2019";4189291;"zł";"";
0616043;"Ryki (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1390;"-";"";
0616043;"Ryki (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";2229;"-";"";
0616043;"Ryki (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";3265;"-";"";
0616043;"Ryki (3)";"wydatki na świadczenia wychowawcze";"2019";17142712;"zł";"";
0616052;"Stężyca (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";337;"-";"";
0616052;"Stężyca (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";550;"-";"";
0616052;"Stężyca (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";730;"-";"";
0616052;"Stężyca (2)";"wydatki na świadczenia wychowawcze";"2019";3961625;"zł";"";
0616062;"Ułęż (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";185;"-";"";
0616062;"Ułęż (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";302;"-";"";
0616062;"Ułęż (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";393;"-";"";
0616062;"Ułęż (2)";"wydatki na świadczenia wychowawcze";"2019";2227101;"zł";"";
0617011;"Świdnik (1)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";2231;"-";"";
0617011;"Świdnik (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";3074;"-";"";
0617011;"Świdnik (1)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";5838;"-";"";
0617011;"Świdnik (1)";"wydatki na świadczenia wychowawcze";"2019";27445991;"zł";"";
0617022;"Mełgiew (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";696;"-";"";
0617022;"Mełgiew (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1061;"-";"";
0617022;"Mełgiew (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1787;"-";"";
0617022;"Mełgiew (2)";"wydatki na świadczenia wychowawcze";"2019";8925990;"zł";"";
0617033;"Piaski (3)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";668;"-";"";
0617033;"Piaski (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";1002;"-";"";
0617033;"Piaski (3)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";1664;"-";"";
0617033;"Piaski (3)";"wydatki na świadczenia wychowawcze";"2019";8164104;"zł";"";
0617042;"Rybczewice (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";215;"-";"";
0617042;"Rybczewice (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";340;"-";"";
0617042;"Rybczewice (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 lipca 2019 do 31 grudnia 2019";"2019";454;"-";"";
0617042;"Rybczewice (2)";"wydatki na świadczenia wychowawcze";"2019";2461722;"zł";"";
0617052;"Trawniki (2)";"przeciętna miesięczna liczba rodzin otrzymujących świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";584;"-";"";
0617052;"Trawniki (2)";"przeciętna miesięczna liczba dzieci, na które rodziny otrzymują świadczenie wychowawcze w okresie od 1 stycznia 2019 do 30 czerwca 2019";"2019";904;"-";"";
